timestep,episode_reward
415456,413.392489
415752,422.582252
416504,426.078658
416544,420.601166
420288,416.848998
420408,426.045819
420504,419.758882
420736,424.685353
421328,425.025011
421456,418.402992
422384,421.770621
422528,425.865822
426040,423.468563
426312,420.464339
426560,431.937847
426560,425.359308
427088,423.400883
427416,421.933866
428160,423.004032
428400,426.041983
432008,426.709008
432192,420.733303
432256,424.063878
432264,422.383406
432864,425.180479
433336,424.227938
433448,420.508939
434112,419.888517
437520,417.222772
438160,424.615759
438208,416.599945
438392,421.769051
438768,422.434045
438920,417.933738
439456,417.614799
439496,423.27713
443712,416.64225
443744,427.167861
444008,420.645792
444112,420.642373
444208,419.248105
445048,420.176522
445144,417.791718
445152,428.989658
449360,418.984883
449608,418.961725
449624,420.140268
449792,424.596178
450328,429.605931
450672,417.761391
450904,423.011342
451360,430.274373
455048,416.432738
455120,424.046917
455224,420.886127
455280,425.185502
456088,424.854398
456200,418.961795
456704,424.337463
457392,421.986342
460832,420.029431
461160,423.740405
461408,429.953
461472,428.192996
461768,423.185866
461912,421.46783
462544,426.124874
463600,429.932974
466328,416.963488
467024,426.741408
467112,424.775269
467120,420.999088
467200,416.226016
467848,429.115383
468152,422.143605
469480,420.52905
472528,422.752776
472624,414.082095
472672,421.999002
473264,426.732757
473392,432.279868
473632,420.294751
474128,429.860295
474864,418.060749
478456,426.078405
478512,426.203615
478984,429.798314
479000,428.793455
479016,420.114187
479120,420.388102
480016,428.720758
480864,425.015926
484168,420.264388
484536,433.616316
484680,425.826234
484728,424.391218
484872,425.231411
485112,423.949238
485824,425.329109
486536,424.467912
489376,412.33866
490392,417.844391
490424,421.530865
490568,422.119332
490712,429.159367
490984,425.232254
491368,424.881404
492512,425.275741
495080,418.981977
496248,425.821654
496312,429.477001
496360,418.625334
496536,423.350047
496648,424.027446
497128,425.340742
497856,413.158425
501104,429.629033
501784,415.079553
501944,422.58808
502280,426.643249
502360,430.296103
502392,420.567567
502472,419.398236
503392,418.287296
506592,419.502332
507176,418.816503
507384,419.970243
508224,423.800661
508256,425.012142
508472,432.978385
508552,413.990533
508744,441.749832
512824,430.266178
513088,424.050054
513416,430.269862
513696,419.335852
513864,420.588555
514000,416.543278
514224,422.613495
514344,419.11029
518112,411.009018
519072,423.738325
519080,432.149486
519240,425.290315
519632,428.576699
519752,421.727606
520000,427.834995
520296,428.494549
523552,419.037293
524400,419.313752
524544,418.99345
525088,416.376523
525184,428.379656
525736,419.81216
525800,429.828155
526272,435.052293
529296,421.594007
530264,424.67777
530568,431.685914
530760,418.107478
531184,427.113176
531776,429.549939
531856,425.176294
532368,429.312988
534944,424.6794
536088,417.225387
536152,417.572697
536352,422.56499
537256,434.346712
537536,424.497864
537608,430.871979
537928,421.056424
540648,431.412622
541728,428.890946
542184,425.864702
542328,444.872585
542584,419.001388
543408,417.279549
543664,424.873242
544120,437.434604
546584,441.913468
547456,427.768556
548104,425.697861
548248,427.396886
548376,423.877
549008,423.971197
549328,421.651348
550008,419.115416
552376,433.136546
553488,425.833025
553840,425.217127
553976,429.59665
554064,427.76668
554656,426.246585
555152,424.926297
555736,426.332529
557936,419.894057
559024,427.74979
559136,420.677562
559632,426.488306
559728,428.048115
560288,421.169621
561120,426.684006
561240,424.335115
563984,431.667085
564864,431.866621
565216,418.456907
